id,value-mode,value-type,value-computer,value-user,time
0,nib,0,29,100,6.152
1,nib,1,44,100,0.182
2,paint,3,0:0:185,0:-2:-3,0.171
3,nib,2,27,100,0.206
4,paint,2,156:156:0,0:-3:0,0.425
5,paint,1,119:0:0,-3:0:-3,0.432
