id,value-type,value,time
0,colour,100,0.001
1,colour,255,64.567
2,colour,200,0.117
3,colour,100,4.436
4,colour,255,0.03
5,colour,200,0.02
6,colour,100,0.041
7,colour,255,0.028
8,colour,200,0.912
