id,value-mode,value-type,value-computer,value-user,time
0,nib,0,35,100,9.864
1,nib,1,60,100,0.186
2,paint,3,206,0:0:0,0.21
3,nib,2,63,100,0.146
4,paint,2,95,0:0:0,0.198
5,paint,1,235,0:0:0,0.422
6,nib,1,54,100,0.748
7,nib,2,57,100,0.171
8,nib,1,50,100,0.166
9,paint,1,71,0:0:0,0.182
10,paint,3,216,0:0:0,0.198
11,paint,2,56,0:0:0,0.188
12,nib,2,64,100,0.735
13,paint,1,183,0:0:0,0.177
14,nib,1,77,100,0.166
15,paint,2,246,0:0:0,0.152
16,nib,0,15,100,0.17
17,paint,3,145,0:0:0,0.29
