id,value-mode,value-type,value-computer,value-user,time
0,nib,0,76,77,8.692
1,nib,1,62,73,3.466
2,paint,3,0:0:192,0:0:224,3.226
3,nib,2,68,71,13.515
4,paint,2,80:80:0,83:83:0,7.352
5,paint,1,222:0:0,230:0:0,3.47
6,nib,1,42,44,6.126
7,nib,2,25,29,6.139
8,nib,1,73,75,7.177
9,paint,1,68:0:0,67:0:0,4.951
10,paint,3,0:0:157,0:0:180,5.193
11,paint,2,133:133:0,118:118:0,5.023
