id,value-mode,value-type,value-computer,value-user,time
0,nib,0,76,77,8.692
1,nib,1,62,73,3.466
2,paint,3,0:0:192,0:0:224,3.226
3,nib,2,68,71,13.515
4,paint,2,80:80:0,83:83:0,7.352
5,paint,1,222:0:0,230:0:0,3.47
