id,sensol-num,value,match-num,startTime
0,0,259:259:259,0,3.248
1,0,259:259:259,0,3.265
2,0,259:259:259,0,3.285
3,0,259:259:259,0,3.303
4,0,259:259:259,0,3.321
5,0,259:259:259,0,3.336
6,0,259:259:259,0,3.37
7,0,259:259:259,0,3.392
8,0,259:259:259,0,3.408
9,0,259:259:259,0,3.425
10,0,259:259:259,0,3.443
11,0,259:259:259,0,3.467
12,0,259:259:259,0,3.483
13,0,259:259:259,0,3.507
14,0,259:259:259,0,3.524
15,0,259:259:259,0,3.541
16,0,259:259:259,0,3.557
17,0,259:259:259,0,3.577
18,0,259:259:259,0,3.599
19,0,259:259:259,0,3.617
20,0,259:259:259,0,3.631
21,0,259:259:259,0,3.648
22,0,259:259:259,0,3.668
23,0,259:259:259,0,3.685
24,0,259:259:259,0,3.702
25,0,259:259:259,0,3.718
26,0,259:259:259,0,3.735
27,0,259:259:259,0,3.753
28,0,259:259:259,0,3.768
29,0,259:259:259,0,3.784
30,0,259:259:259,0,3.801
31,0,259:259:259,0,3.819
32,0,259:259:259,0,3.835
33,0,259:259:259,0,3.852
34,0,259:259:259,0,3.873
35,0,259:259:259,0,3.893
36,0,259:259:259,0,3.91
37,0,259:259:259,0,3.933
38,0,259:259:259,0,3.951
39,0,259:259:259,0,3.968
40,0,259:259:259,0,3.986
41,0,259:259:259,0,4.002
42,0,259:259:259,0,4.018
43,0,259:259:259,0,4.036
44,0,259:259:259,0,4.053
45,0,259:259:259,0,4.068
46,0,259:259:259,0,4.085
47,0,259:259:259,0,4.103
48,0,259:259:259,0,4.12
49,0,259:259:259,0,4.136
50,0,259:259:259,0,4.151
51,0,259:259:259,0,4.173
52,0,259:259:259,0,4.185
53,0,259:259:259,0,4.202
54,0,259:259:259,0,4.219
55,0,259:259:259,0,4.236
56,0,259:259:259,0,4.252
57,0,259:259:259,0,4.268
58,0,259:259:259,0,4.286
59,0,259:259:259,0,4.306
60,0,259:259:259,1,0.017
61,0,259:259:259,1,0.037
62,0,259:259:259,1,0.069
63,0,259:259:259,1,0.087
64,0,259:259:259,1,0.109
65,0,259:259:259,1,0.129
66,0,259:259:259,1,0.145
67,0,259:259:259,1,0.163
68,0,259:259:259,1,0.181
69,0,259:259:259,1,0.197
70,0,259:259:259,1,0.213
71,0,259:259:259,1,0.232
72,0,259:259:259,1,0.247
73,0,259:259:259,1,0.266
74,0,259:259:259,1,0.284
75,0,259:259:259,1,0.299
76,0,259:259:259,1,0.317
77,0,259:259:259,1,0.333
78,0,259:259:259,1,0.351
79,0,259:259:259,1,0.365
80,0,259:259:259,1,0.384
81,0,259:259:259,1,0.399
82,0,259:259:259,1,0.416
83,0,259:259:259,1,0.433
84,0,259:259:259,1,0.451
85,0,259:259:259,1,0.472
86,0,259:259:259,1,0.488
87,0,259:259:259,1,0.507
88,0,259:259:259,1,0.526
89,0,259:259:259,1,0.544
90,0,259:259:259,1,0.559
91,0,259:259:259,1,0.577
92,0,259:259:259,1,0.601
93,0,259:259:259,1,0.615
94,0,259:259:259,2,0.026
95,0,259:259:259,2,0.041
96,0,259:259:259,2,0.065
97,0,259:259:259,2,0.082
98,0,259:259:259,2,0.104
99,0,259:259:259,2,0.121
100,0,259:259:259,2,0.138
101,0,259:259:259,2,0.155
102,0,259:259:259,2,0.172
103,0,259:259:259,2,0.189
104,0,259:259:259,2,0.206
105,0,259:259:259,2,0.222
106,0,259:259:259,2,0.237
107,0,259:259:259,2,0.256
108,0,259:259:259,2,0.272
109,0,259:259:259,2,0.289
110,0,259:259:259,2,0.305
111,0,259:259:259,2,0.322
112,0,259:259:259,2,0.338
113,0,259:259:259,2,0.356
114,0,259:259:259,2,0.372
115,0,259:259:259,2,0.388
116,0,259:259:259,2,0.407
117,0,259:259:259,2,0.422
118,0,259:259:259,2,0.438
119,0,259:259:259,2,0.457
120,0,259:259:259,2,0.473
121,0,259:259:259,2,0.489
122,0,259:259:259,2,0.506
123,0,259:259:259,2,0.523
124,0,259:259:259,2,0.539
125,0,259:259:259,2,0.555
126,0,259:259:259,2,0.573
127,0,259:259:259,2,0.589
128,0,259:259:259,2,0.606
129,0,259:259:259,2,0.622
130,0,259:259:259,2,0.64
131,0,259:259:259,2,0.657
132,0,259:259:259,2,0.673
133,0,259:259:259,3,0.021
134,0,259:259:259,3,0.046
135,0,259:259:259,3,0.066
136,0,259:259:259,3,0.083
137,0,259:259:259,3,0.099
138,0,259:259:259,3,0.116
139,0,259:259:259,3,0.133
140,0,259:259:259,3,0.149
141,0,259:259:259,3,0.167
142,0,259:259:259,3,0.183
143,0,259:259:259,3,0.2
144,0,259:259:259,3,0.217
145,0,259:259:259,3,0.234
146,0,259:259:259,3,0.252
147,0,259:259:259,3,0.266
148,0,259:259:259,3,0.283
149,0,259:259:259,3,0.299
150,0,259:259:259,3,0.317
151,0,259:259:259,3,0.334
152,0,259:259:259,3,0.35
153,0,259:259:259,3,0.367
154,0,259:259:259,3,0.382
155,0,259:259:259,3,0.4
156,0,259:259:259,3,0.416
157,0,259:259:259,3,0.433
158,0,259:259:259,3,0.45
159,0,259:259:259,3,0.466
160,0,259:259:259,3,0.484
161,0,259:259:259,3,0.499
162,0,259:259:259,3,0.516
163,0,259:259:259,3,0.533
164,0,259:259:259,3,0.551
165,0,259:259:259,3,0.568
166,0,259:259:259,3,0.585
167,0,259:259:259,4,0.015
168,0,259:259:259,4,0.03
169,0,259:259:259,4,0.049
170,0,259:259:259,4,0.073
171,0,259:259:259,4,0.091
172,0,259:259:259,4,0.113
173,0,259:259:259,4,0.129
174,0,259:259:259,4,0.146
175,0,259:259:259,4,0.163
176,0,259:259:259,4,0.18
177,0,259:259:259,4,0.196
178,0,259:259:259,4,0.215
179,0,259:259:259,4,0.231
180,0,259:259:259,4,0.248
181,0,259:259:259,4,0.264
182,0,259:259:259,4,0.28
183,0,259:259:259,4,0.296
184,0,259:259:259,4,0.314
185,0,259:259:259,4,0.331
186,0,259:259:259,4,0.347
187,0,259:259:259,4,0.364
188,0,259:259:259,4,0.38
189,0,259:259:259,4,0.397
190,0,259:259:259,4,0.415
191,0,259:259:259,4,0.43
192,0,259:259:259,4,0.448
193,0,259:259:259,4,0.464
194,0,259:259:259,4,0.481
195,0,259:259:259,4,0.497
196,0,259:259:259,4,0.516
197,0,259:259:259,4,0.531
198,0,259:259:259,4,0.548
199,0,259:259:259,4,0.564
200,0,259:259:259,4,0.58
201,0,259:259:259,4,0.597
202,0,259:259:259,4,0.614
203,0,259:259:259,4,0.63
204,0,259:259:259,4,0.647
205,0,259:259:259,4,0.664
206,0,259:259:259,4,0.681
207,0,259:259:259,4,0.699
208,0,259:259:259,4,0.715
209,0,259:259:259,4,0.731
210,0,259:259:259,4,0.749
211,0,259:259:259,4,0.768
212,0,259:259:259,4,0.784
213,0,259:259:259,5,0.016
214,0,259:259:259,5,0.033
215,0,259:259:259,5,0.05
216,0,259:259:259,5,0.072
217,0,259:259:259,5,0.097
218,0,259:259:259,5,0.115
219,0,259:259:259,5,0.132
220,0,259:259:259,5,0.156
221,0,259:259:259,5,0.173
222,0,259:259:259,5,0.192
223,0,259:259:259,5,0.21
224,0,259:259:259,5,0.225
225,0,259:259:259,5,0.246
226,0,259:259:259,5,0.262
227,0,259:259:259,5,0.28
228,0,259:259:259,5,0.297
229,0,259:259:259,5,0.314
230,0,259:259:259,5,0.331
231,0,259:259:259,5,0.347
232,0,259:259:259,5,0.363
233,0,259:259:259,5,0.382
234,0,259:259:259,5,0.398
235,0,259:259:259,5,0.414
236,0,259:259:259,5,0.43
237,0,259:259:259,5,0.447
238,0,259:259:259,5,0.463
239,0,259:259:259,5,0.482
240,0,259:259:259,5,0.497
241,0,259:259:259,5,0.514
242,0,259:259:259,5,0.532
243,0,259:259:259,5,0.549
244,0,259:259:259,5,0.565
245,0,259:259:259,5,0.581
246,0,259:259:259,5,0.598
247,0,259:259:259,5,0.614
248,0,259:259:259,5,0.63
249,0,259:259:259,5,0.648
250,0,259:259:259,5,0.664
251,0,259:259:259,5,0.681
252,0,259:259:259,5,0.698
253,0,259:259:259,5,0.715
