id,value-mode,value-type,value-computer,value-user,time
0,paint,3,0:0:187,0:0:0,10.399
1,nib,1,84,100,0.475
2,paint,2,150:150:0,0:0:0,0.377
3,nib,0,72,100,0.409
4,paint,1,157:0:0,0:0:0,0.452
5,nib,2,57,100,0.512
