id,value-mode,value-type,value-computer,value-user,time
0,paint,2,100,136:136:0,12.523
1,paint,1,255,255:5:0,9.635
2,nib,1,20,22,8.771
3,paint,2,100,145:145:0,4.646
4,nib,1,70,82,8.306
5,nib,0,10,18,91.958
6,paint,3,100,211:0:213,13.337
7,nib,1,45,64,64.594
8,nib,2,50,61,14.644
