id,value-type,value,time
0,colour,100,30.67
1,colour,255,70.032
2,colour,200,7.556
3,colour,100,19.854
4,colour,255,55.365
5,colour,200,18.093
6,colour,100,6.735
7,colour,255,5.985
8,colour,200,25.73
9,colour,50,0.0
10,nib,60,260.519
11,nib,30,4.199
12,nib,20,1.37
13,nib,12,2.415
14,nib,70,9.975
15,nib,10,1.88
16,nib,30,1.584
17,nib,45,1.886
18,nib,50,5.151
19,nib,20,0.0
