id,value-mode,value-type,value-computer,value-user,time
0,nib,0,87,83,22.694
1,nib,1,47,75,5.176
2,paint,3,0:0:144,0:0:163,15.07
3,nib,2,98,89,8.352
4,paint,2,247:247:0,240:240:0,12.602
5,paint,1,215:0:0,177:0:0,14.043
6,nib,1,69,88,4.051
7,nib,2,19,10,8.666
8,nib,1,54,78,6.896
9,paint,1,82:0:0,97:0:0,3.459
10,paint,3,0:0:249,0:0:239,7.458
11,paint,2,239:239:0,224:224:0,9.267
