id,value-mode,value-type,value-computer,value-user,time
0,nib,0,51,50,13.292
1,nib,1,16,100,0.497
2,paint,3,0:0:124,0:0:0,0.237
3,nib,2,15,100,0.598
4,paint,2,199:199:0,0:0:0,0.224
5,paint,1,87:0:0,127:0:0,0.579
