id,value-type,value,time
0,nib,60,44.966
1,nib,30,2.864
2,nib,20,1.208
3,nib,100,2.792
4,nib,70,1.367
5,nib,10,2.368
6,nib,30,1.618
7,nib,150,3.651
8,nib,50,3.968
9,nib,20,0.0
