id,sensol-num,value,match-num,startTime
,,,,
1,0,94,0,6.681
2,0,94,0,6.697
3,0,94,0,6.718
4,0,93,0,6.738
5,0,92,0,6.766
6,0,91,0,6.788
7,0,90,0,6.803
8,0,90,0,6.825
9,0,89,0,6.842
10,0,88,0,6.863
11,0,88,0,6.886
12,0,86,0,6.909
13,0,85,0,6.931
14,0,85,0,6.958
15,0,84,0,6.974
16,0,84,0,6.99
17,0,83,0,7.018
18,0,82,0,7.035
19,0,82,0,7.06
20,0,82,0,7.077
21,0,82,0,7.101
22,0,82,0,7.119
23,0,82,0,7.136
24,0,81,0,7.162
25,0,81,0,7.178
26,0,81,0,7.206
27,0,81,0,7.222
28,0,81,0,7.247
29,0,82,0,7.264
30,0,82,0,7.281
31,0,82,0,7.31
32,0,82,0,7.332
33,0,82,0,7.358
34,0,82,0,7.378
35,0,82,0,7.403
36,0,82,0,7.421
37,0,83,0,7.446
38,0,83,0,7.464
39,0,83,0,7.484
40,0,83,0,7.512
41,0,83,0,7.527
42,0,82,0,7.548
43,0,82,0,7.569
44,0,82,0,7.587
45,0,82,0,7.611
46,0,82,0,7.627
47,0,81,0,7.643
48,0,81,0,7.669
49,0,81,0,7.689
50,0,81,0,7.715
51,0,80,0,7.733
52,0,80,0,7.756
53,0,80,0,7.772
54,0,80,0,7.788
55,0,80,0,7.814
56,0,80,0,7.831
57,0,80,0,7.852
58,0,80,0,7.871
59,0,79,0,7.897
60,0,79,0,7.918
61,0,79,0,7.935
62,0,78,0,7.961
63,0,78,0,7.976
64,0,78,0,8.005
65,0,78,0,8.024
66,0,77,0,8.05
67,0,77,0,8.069
68,0,77,0,8.092
69,0,77,0,8.109
70,0,77,0,8.139
71,0,77,0,8.176
72,0,77,0,8.19
73,0,77,0,8.213
74,0,77,0,8.241
75,0,77,0,8.262
76,0,77,0,8.286
77,0,77,0,8.303
78,0,77,0,8.328
79,0,77,0,8.344
80,0,77,0,8.37
81,0,77,0,8.386
82,0,77,0,8.402
83,0,77,0,8.429
84,0,77,0,8.445
85,0,77,0,8.465
86,0,77,0,8.486
87,0,77,0,8.504
88,0,77,0,8.531
89,0,77,0,8.548
90,0,77,0,8.574
91,0,77,0,8.595
92,0,77,0,8.619
93,0,77,0,8.638
94,0,77,0,8.665
95,0,77,0,8.692
96,0,100,1,0.021
97,0,100,1,0.043
98,0,100,1,0.061
99,0,100,1,0.085
100,0,100,1,0.105
101,0,100,1,0.123
102,0,100,1,0.144
103,0,100,1,0.165
104,0,100,1,0.183
105,0,100,1,0.205
106,0,100,1,0.228
107,0,100,1,0.247
108,0,100,1,0.271
109,0,100,1,0.298
110,0,100,1,0.326
111,0,100,1,0.345
112,0,100,1,0.364
113,0,100,1,0.381
114,0,100,1,0.404
115,0,100,1,0.426
116,0,100,1,0.441
117,0,100,1,0.469
118,0,100,1,0.491
119,0,100,1,0.512
120,0,100,1,0.533
121,0,100,1,0.558
122,0,100,1,0.576
123,0,100,1,0.594
124,0,100,1,0.619
125,0,100,1,0.64
126,0,100,1,0.666
127,0,100,1,0.686
128,0,100,1,0.714
129,0,100,1,0.729
130,0,100,1,0.746
131,0,100,1,0.773
132,0,100,1,0.788
133,0,100,1,0.805
134,0,100,1,0.831
135,0,100,1,0.848
136,0,100,1,0.875
137,0,100,1,0.893
138,0,100,1,0.917
139,0,100,1,0.932
140,0,100,1,0.951
141,0,100,1,0.977
142,0,100,1,0.996
143,0,100,1,1.011
144,0,100,1,1.033
145,0,100,1,1.053
146,0,100,1,1.074
147,0,100,1,1.095
148,0,100,1,1.119
149,0,100,1,1.14
150,0,100,1,1.165
151,0,100,1,1.182
152,0,100,1,1.207
153,0,100,1,1.225
154,0,100,1,1.243
155,0,100,1,1.272
156,0,100,1,1.292
157,0,100,1,1.314
158,0,100,1,1.333
159,1,94,1,1.348
160,1,93,1,1.371
161,1,92,1,1.388
