id,value-mode,value-type,value-computer,value-user,time
0,nib,0,91,88,16.184
1,nib,1,61,58,3.303
2,paint,3,0:0:245,0:-2:-3,5.164
3,nib,2,78,88,3.461
4,paint,2,112:112:0,120:120:0,10.573
5,paint,1,164:0:0,170:0:0,4.478
